Realizada,Urgencia,Actividad,Materia,Tipo,Prioridad,Fecha Recibida,Fecha de Entrega,Días Restantes,Tiempo Restante,Apoyo de,Documentos,Micro Tareas
No,⚠️,Tarea X: [Título de la actividad],,,❄️Baja,20 de julio de 2021,27 de julio de 2021,-1849,-1849 días -10 horas,,,
No,⚠️,Tarea X: [Título de la actividad],,,⚖️Media,22 de julio de 2021,30 de julio de 2021,-1846,-1846 días -10 horas,,,
No,🟢,Tarea 1 - Contextualización - Conocimientos previos,Física General ⚛,"Estudiar, Examen",🔥ALTA,17 de agosto de 2026 0:00 (GMT-5),30 de agosto de 2026 23:55 (GMT-5),11,11 días 13 horas,,,
No,🟢,Tarea 1 - Conocimientos previos del cálculo Integral,Cálculo Integral 🧮,"Estudiar, Examen, Investigación",🔥ALTA,17 de agosto de 2026 0:00 (GMT-5),30 de agosto de 2026 23:55 (GMT-5),11,11 días 13 horas,,,
No,🟢,Tarea 1 - Contextualización - Conocimientos previos,Probabilidad 🎰,"Estudiar, Examen",🔥ALTA,17 de agosto de 2026 0:00 (GMT-5),30 de agosto de 2026 23:55 (GMT-5),11,11 días 13 horas,,,
No,🟢,Tarea 1 - Contextualización,P. Servicio Social 🤝🏻,"Estudiar, Exposición, Investigación, Reporte",🔥ALTA,17 de agosto de 2026 0:00 (GMT-5),30 de agosto de 2026 23:55 (GMT-5),11,11 días 13 horas,,,
No,🟢,Tarea 1 - Conceptualización Gestión de TI y marco de referencia ITIL,Gestión De TI 👨🏻‍💻,"Estudiar, Examen, Investigación",🔥ALTA,17 de agosto de 2026 0:00 (GMT-5),30 de agosto de 2026 23:55 (GMT-5),11,11 días 13 horas,,,
No,🟢,Tarea 2 - Análisis del problema y estrategia del servicio TI,Gestión De TI 👨🏻‍💻,"Equipo, Exposición, Investigación, Reporte",🔥ALTA,31 de agosto de 2026 0:00 (GMT-5),27 de septiembre de 2026 23:55 (GMT-5),39,39 días 13 horas,,,
No,🟢,Tarea 2.1 - Actividad simulada - URL,Cálculo Integral 🧮,"Examen, Práctica",🔥ALTA,31 de agosto de 2026 0:00 (GMT-5),29 de septiembre de 2026 23:55 (GMT-5),41,41 días 13 horas,,,
No,🟢,Tarea 2 - Comprensión de conceptos de la integral,Cálculo Integral 🧮,"Exposición, Investigación, Práctica, Reporte",🔥ALTA,31 de agosto de 2026 0:00 (GMT-5),29 de septiembre de 2026 23:55 (GMT-5),41,41 días 13 horas,,,
No,🟢,Tarea 5 - Actividad Simulada Parte III,Física General ⚛,"Estudiar, Examen, Investigación, Práctica",🔥ALTA,31 de agosto de 2026 0:00 (GMT-5),1 de octubre de 2026 23:55 (GMT-5),43,43 días 13 horas,,,
No,🟢,Tarea 4 - Actividad Simulada Parte II,Física General ⚛,"Estudiar, Examen, Investigación, Práctica",🔥ALTA,31 de agosto de 2026 0:00 (GMT-5),1 de octubre de 2026 23:55 (GMT-5),43,43 días 13 horas,,,
No,🟢,Tarea 3 - Actividad Simulada Parte I,Física General ⚛,"Estudiar, Investigación, Práctica, Reporte",🔥ALTA,31 de agosto de 2026 0:00 (GMT-5),1 de octubre de 2026 23:55 (GMT-5),43,43 días 13 horas,,,
No,🟢,Tarea 6 - Fuerzas y energía que transforman el movimiento,Física General ⚛,Reporte,🔥ALTA,2 de octubre de 2026 0:00 (GMT-5),5 de octubre de 2026 23:55 (GMT-5),47,47 días 13 horas,,,
No,🟢,Tarea 2 – Formulación,P. Servicio Social 🤝🏻,"Equipo, Estudiar, Exposición, Práctica, Reporte",🔥ALTA,31 de agosto de 2026 0:00 (GMT-5),11 de octubre de 2026 23:55 (GMT-5),53,53 días 13 horas,,,
No,🟢,Tarea 2 - Conceptualización de probabilidad POA,Probabilidad 🎰,"Exposición, Investigación, Práctica, Reporte",🔥ALTA,31 de agosto de 2026 0:00 (GMT-5),12 de octubre de 2026 23:55 (GMT-5),54,54 días 13 horas,,,
No,🟢,Tarea 3 - Diseño del servicio TI,Gestión De TI 👨🏻‍💻,"Equipo, Estudiar, Examen, Investigación, Reporte",🔥ALTA,28 de septiembre de 2026 0:00 (GMT-5),25 de octubre de 2026 23:55 (GMT-5),67,67 días 13 horas,,,
No,🟢,Tarea 3.1 - Actividad simulada - URL,Cálculo Integral 🧮,"Exposición, Investigación, Práctica, Reporte",🔥ALTA,30 de septiembre de 2026 0:00 (GMT-5),27 de octubre de 2026 23:55 (GMT-5),69,69 días 13 horas,,,
No,🟢,Tarea 3 - Solución a través de métodos de integración,Cálculo Integral 🧮,"Estudiar, Exposición, Práctica, Reporte",🔥ALTA,30 de septiembre de 2026 0:00 (GMT-5),27 de octubre de 2026 23:55 (GMT-5),69,69 días 13 horas,,,
No,🟢,Tarea 4 - Cálculo con las aplicaciones de la integral,Cálculo Integral 🧮,"Estudiar, Exposición, Investigación, Práctica, Reporte",🔥ALTA,28 de octubre de 2026 0:00 (GMT-5),22 de noviembre de 2026 0:00 (GMT-5),94,94 días 13 horas,,,
No,🟢,Tarea 4.1 - Actividad simulada - URL,Cálculo Integral 🧮,"Estudiar, Examen, Práctica",🔥ALTA,28 de octubre de 2026 0:00 (GMT-5),22 de noviembre de 2026 23:55 (GMT-5),95,95 días 13 horas,,,
No,🟢,Tarea 4 - Componente práctico - prácticas simuladas,Gestión De TI 👨🏻‍💻,"Equipo, Estudiar, Examen, Exposición, Investigación, Práctica, Reporte",🔥ALTA,26 de octubre de 2026 0:00 (GMT-5),22 de noviembre de 2026 23:55 (GMT-5),95,95 días 13 horas,,,
No,🟢,Tarea 3 - Análisis y aplicación de variables aleatorias,Probabilidad 🎰,"Estudiar, Examen, Investigación",🔥ALTA,13 de octubre de 2026 0:00 (GMT-5),22 de noviembre de 2026 23:55 (GMT-5),95,95 días 13 horas,,,
No,🟢,Tarea 3 - Acción y Evaluación: Servicio Social,P. Servicio Social 🤝🏻,"Estudiar, Investigación, Práctica, Reporte",🔥ALTA,11 de octubre de 2026 0:00 (GMT-5),22 de noviembre de 2026 23:55 (GMT-5),95,95 días 13 horas,,,
No,🟢,Tarea 2 - Componente Práctico - Práctica de laboratorio,Física General ⚛,"Equipo, Estudiar, Investigación, Práctica, Reporte",🔥ALTA,31 de agosto de 2026 0:00 (GMT-5),22 de noviembre de 2026 23:55 (GMT-5),95,95 días 13 horas,,,
No,🟢,Tarea 7 - Evaluación Final,Física General ⚛,"Estudiar, Examen, Investigación",🔥ALTA,26 de noviembre de 2026 0:00 (GMT-5),1 de diciembre de 2026 23:55 (GMT-5),104,104 días 13 horas,,,
No,🟢,Tarea 5 - Evaluación Final,Cálculo Integral 🧮,"Estudiar, Examen, Práctica",🔥ALTA,26 de noviembre de 2026 0:00 (GMT-5),1 de diciembre de 2026 23:55 (GMT-5),104,104 días 13 horas,,,
No,🟢,Tarea 4 - Evaluación final,Probabilidad 🎰,"Estudiar, Examen",🔥ALTA,26 de noviembre de 2026 0:00 (GMT-5),1 de diciembre de 2026 23:55 (GMT-5),104,104 días 13 horas,,,
No,🟢,Tarea 4 - Producción de Participación Comunitaria,P. Servicio Social 🤝🏻,"Equipo, Práctica, Reporte",🔥ALTA,23 de noviembre de 2026 0:00 (GMT-5),6 de diciembre de 2026 23:55 (GMT-5),109,109 días 13 horas,,,
No,🟢,Tarea 5 - Plan de mejora continua del servicio TI,Gestión De TI 👨🏻‍💻,"Estudiar, Examen, Investigación",🔥ALTA,23 de noviembre de 2026 0:00 (GMT-5),6 de diciembre de 2026 23:55 (GMT-5),109,109 días 13 horas,,,
No,⚠️,,,,,,,,,,,
